interface,src_ip,proto,status,vrf,address,age,cpu,mac,state,type
Bundle-Ether10004.1154,10.229.113.45,Down,Up,IPR3220_VETERAN,,,,,,
Bundle-Ether10004.1159,10.227.136.69,Up,Up,IPR3115_PNB,,,,,,
Bundle-Ether10004.1161,unassigned,Up,Up,default,,,,,,
Bundle-Ether10004.1164,10.227.143.117,Up,Up,IPR3926_BPI03,,,,,,
Bundle-Ether10005.1001,10.226.150.1,Up,Up,IPR30800_FTTH_NMS,,,,,,
Bundle-Ether10005.1024,unassigned,Up,Up,default,,,,,,
Bundle-Ether10005.1025,unassigned,Up,Up,default,,,,,,
Bundle-Ether10005.1026,172.16.45.5,Up,Up,IPR30076_IPTV,,,,,,
Bundle-Ether10005.1030,unassigned,Up,Up,default,,,,,,
Bundle-Ether10005.1035,unassigned,Up,Up,default,,,,,,
Bundle-Ether10005.1039,unassigned,Up,Up,default,,,,,,
Bundle-Ether10005.1050,unassigned,Up,Up,default,,,,,,
Bundle-Ether10005.1059,unassigned,Up,Up,default,,,,,,
Bundle-Ether10005.1101,unassigned,Up,Up,default,,,,,,
Bundle-Ether10005.1102,unassigned,Up,Up,default,,,,,,
Bundle-Ether10006.1001,10.225.197.65,Up,Up,IPR30800_FTTH_NMS,,,,,,
Bundle-Ether10006.1024,unassigned,Up,Up,default,,,,,,
Bundle-Ether10006.1025,unassigned,Up,Up,default,,,,,,
Bundle-Ether10006.1026,172.16.6.5,Up,Up,IPR30076_IPTV,,,,,,
Bundle-Ether10006.1030,unassigned,Up,Up,default,,,,,,
Bundle-Ether10006.1035,unassigned,Up,Up,default,,,,,,
Bundle-Ether10006.1039,unassigned,Up,Up,default,,,,,,
Bundle-Ether10006.1050,unassigned,Up,Up,default,,,,,,
Bundle-Ether10006.1059,unassigned,Up,Up,default,,,,,,
Bundle-Ether50000.4083,10.157.128.65,Up,Up,IPR39983_RADNMS,,,,,,
Loopback0,10.205.134.69,Up,Up,default,,,,,,
Loopback1,10.205.142.69,Up,Up,CIPR20000_TNTMGMT_H00,,,,,,
TenGigE0/0/0/1,unassigned,Up,Up,default,,,,,,
TenGigE0/0/0/8,unassigned,Up,Up,default,,,,,,
TenGigE0/0/1/0,unassigned,Up,Up,default,,,,,,
TenGigE0/0/1/1,unassigned,Up,Up,default,,,,,,
HundredGigE0/0/2/0,unassigned,Up,Up,default,,,,,,
TenGigE0/1/0/0,unassigned,Up,Up,default,,,,,,
TenGigE0/1/0/2,unassigned,Up,Up,default,,,,,,
TenGigE0/1/0/3,unassigned,Up,Up,default,,,,,,
TenGigE0/1/0/5,unassigned,Up,Up,default,,,,,,
TenGigE0/1/0/6,unassigned,Up,Up,default,,,,,,
TenGigE0/1/0/7,unassigned,Up,Up,default,,,,,,
HundredGigE0/1/2/0,unassigned,Up,Up,default,,,,,,
TenGigE0/2/0/1,unassigned,Up,Up,default,,,,,,
TenGigE0/2/0/2,unassigned,Up,Up,default,,,,,,
TenGigE0/2/0/10,unassigned,Up,Up,default,,,,,,
TenGigE0/2/1/0,unassigned,Up,Up,default,,,,,,
TenGigE0/2/1/2,unassigned,Up,Up,default,,,,,,
TenGigE0/3/0/1,unassigned,Up,Up,default,,,,,,
TenGigE0/3/0/4,unassigned,Up,Up,default,,,,,,
